V,Libelle GEN,Libelle ROME,Code ROME,score
Na,Chargé de communication web,Chargé / Chargée de communication externe,E1103,53
Na,Chargé de communication web,Chargé / Chargée de communication,E1103,27
Na,Pen testeur,Testeur / Testeuse informatique,M1805,27
Na,Pen testeur,Testeur / Testeuse en électricité,H1504,32
Na,Pen testeur,Testeur / Testeuse en télécommunications,I1307,32
Na,Directeur de projet,Directeur / Directrice de projet en informatique,M1803,97
Na,Directeur de projet,Directeur / Directrice de projet télécoms,M1803,31
Na,Directeur de projet,Projeteur / Projeteuse thermique,H3404,2
Na,Entrepreneur digital,Entrepreneur / Entrepreneuse de spectacles,L1302,59
Na,Entrepreneur digital,Chief digital officer - Responsable de la transformation digitale,M1402,1
Na,Entrepreneur digital,Responsable marketing digital,M1705,57
Na,Responsable CRM,Responsable e-CRM electronic Customer Relationship Management,M1704,57
Na,Responsable CRM,Customer Relationship Manager (CRM),M1704,75
Na,Responsable CRM,Consultant / Consultante SI CRM/GRC Customer Relationship Management - Gestion de la Relation Client,M1806,51
Na,Couteau suisse du numérique,Coloriste numérique,E1205,51
Na,Couteau suisse du numérique,Étalonneur / Étalonneuse numérique,L1507,15
Na,Couteau suisse du numérique,Graveur / Graveuse sur commande numérique,E1306,39
Na,Responsable sécurité des systèmes d'information,Responsable sécurité des systèmes d'information,M1802,41
Na,Responsable sécurité des systèmes d'information,Architecte de sécurité des systèmes d'information,M1802,46
Na,Responsable sécurité des systèmes d'information,Développeur / Développeuse de sécurité des systèmes d'information,M1805,47
Na,Chef de projet marketing digital,Responsable marketing digital,M1705,56
Na,Chef de projet marketing digital,Chargé / Chargée de projet marketing,M1705,33
Na,Chef de projet marketing digital,Chef de produit digital,M1703,10
Na,Chef de projet web,Chef de projet Web,M1803,82
Na,Chef de projet web,Chef de produit web,M1703,42
Na,Chef de projet web,Automaticien / Automaticienne chef de projet,H1208,21
Na,Data Architect,Data scientist,M1403,60
Na,Data Architect,Développeur / Développeuse Big Data,M1805,32
Na,Data Architect,Data manager,M1802,24
Na,Expert en technologie de l’information,Expert / Experte technologie en industrie,H1206,24
Na,Expert en technologie de l’information,Expert / Experte des risques technologiques,H1302,38
Na,Expert en technologie de l’information,Expert / Experte en technologie Internet et multimédia,M1802,96
Na,Game designer,Game designer - jeux vidéo,E1104,61
Na,Game designer,Game designer - jeux web online,E1104,86
Na,Game designer,Lead game designer - jeux vidéo,E1104,83
Na,Security Architect,Architecteur / Architecteure,F1101,40
Na,Security Architect,Architecte,F1101,40
Na,Security Architect,Architecte conseiller / conseillère,F1101,40
Na,Vidéaste,Vidéaste,B1101,98
Na,Fablab manager,Facilitateur / Facilitatrice de FabLab - laboratoire de fabrication numérique,G1202,44
Na,Fablab manager,Manager / Manageuse de caisses,D1508,26
Na,Fablab manager,BIM Manager,F1106,47
Na,Digital business developer,Responsable développement / Business Developer,M1707,0
Na,Digital business developer,Développeur / Développeuse décisionnel - Business Intelligence,M1805,46
Na,Développeur blockchain,Développeur / Développeuse multimédia,M1805,6
Na,Développeur blockchain,Analyste développeur / développeuse,M1805,10
Na,Développeur blockchain,Développeur / Développeuse full-stack,M1805,45
Na,Responsable marketing digital,Responsable marketing digital,M1705,61
Na,Responsable marketing digital,Chief digital officer - Responsable de la transformation digitale,M1402,5
Na,Responsable marketing digital,Responsable marketing,M1705,8
Na,Traffic manager,Traffic manager,E1402,63
Na,Traffic manager,Agent / Agente de trafic aérien,N2204,43
Na,Traffic manager,Superviseur / Superviseuse trafic aérien,N2204,35
Na,Animateur 3D,Animateur / Animatrice 3D,E1205,51
Na,Animateur 3D,Animateur / Animatrice 3D - films d'animation,L1510,85
Na,Animateur 3D,Animateur / Animatrice 2D 3D - films d'animation,L1510,51
Na,Chef de projet communication digitale,Chef de produit digital,M1703,35
Na,Chef de projet communication digitale,Chef du service d'information et de communication,E1103,42
Na,Chef de projet communication digitale,Automaticien / Automaticienne chef de projet,H1208,6
Na,Ingénieur DevOps,Ingénieur / Ingénieure travaux,F1106,41
Na,Ingénieur DevOps,Ingénieur / Ingénieure télécoms,M1804,30
Na,Ingénieur DevOps,Ingénieur / Ingénieure télécommunication,M1804,7
Na,Développeur Data,Développeur / Développeuse Big Data,M1805,46
Na,Développeur Data,Data scientist,M1403,40
Na,Développeur Data,Développeur / Développeuse multimédia,M1805,32
Na,Analyste SOC,Analyste-programmeur / Analyste-programmeuse informatique,M1805,24
Na,Analyste SOC,Ingénieur-analyste / Ingénieure-analyste de l'air,H1501,38
Na,Analyste SOC,Analyste-programmeur / Analyste-programmeuse scientifique informatique,M1805,14
Na,Scrum master,Scrum Master,M1805,46
Na,Scrum master,Infographiste web master,E1205,12
Na,Scrum master,Game master jeux online,E1101,15
Na,UX Designer,UX - user experience designer,E1205,41
Na,UX Designer,Sound designer / Designer sonore,L1507,24
Na,UX Designer,Designer,H1204,36
Na,Technicien blockchain,Technicien / Technicienne de rivière,A1204,20
Na,Technicien blockchain,Technicien / Technicienne sur laminoir,H2904,27
Na,Technicien blockchain,Technicien / Technicienne programmation,M1805,25
Na,Architecte base de données,Architecte de bases de données,M1802,79
Na,Architecte base de données,Architecte de données informatiques,M1802,37
Na,Architecte base de données,Administrateur / Administratrice de bases de données,M1801,11
Na,Data Analyst,Data analyst,M1403,97
Na,Data Analyst,Data scientist,M1403,43
Na,Data Analyst,Analyst revenue management,G1302,39
Na,Architecte Cloud,Architecte cloud,M1802,40
Na,Architecte Cloud,Architecte,F1101,8
Na,Architecte Cloud,Architecte conseiller / conseillère,F1101,35
Na,IA product Manager,Product manager,M1703,58
Na,IA product Manager,Manager / Manageuse produits frais,D1502,45
Na,IA product Manager,Project Manager,M1803,20
Na,Forgeur numérique,Coloriste numérique,E1205,58
Na,Forgeur numérique,Étalonneur / Étalonneuse numérique,L1507,7
Na,Forgeur numérique,Consultant / Consultante en accessibilité numérique,M1806,53
Na,Technicien cybersécurité,Opérateur / Opératrice en cybersécurité,M1810,45
Na,Technicien cybersécurité,Expert / Experte en cybersécurité,M1802,54
Na,Technicien cybersécurité,Analyste en cybersécurité,M1805,48
Na,Intégrateur web,Intégrateur / Intégratrice en industrie,H1206,7
Na,Intégrateur web,Intégrateur / Intégratrice texte/image,E1306,19
Na,Intégrateur web,Intégrateur / Intégratrice d'application informatique,M1805,48
Na,Journaliste web,Journaliste Web,E1106,47
Na,Journaliste web,Journaliste sportif / sportive,E1106,60
Na,Journaliste web,Journaliste rédacteur / rédactrice,E1106,18
Na,Technicien d'exploitation,Technicien / Technicienne d'exploitation méthanisation,K2306,3
Na,Technicien d'exploitation,Technicien / Technicienne d'exploitation de la météorologie,M1809,14
Na,Technicien d'exploitation,Technicien / Technicienne d'exploitation vidéo,L1505,43
Na,Chef de projet systèmes d'information,Chef de projet utilisateurs des systèmes d'information,M1806,92
Na,Chef de projet systèmes d'information,Chef de projet maîtrise d'ouvrage des systèmes d'information,M1806,48
Na,Chef de projet systèmes d'information,Chef de projet Maîtrise d'Ouvrage - MOA des systèmes d'information,M1806,56
Na,Spécialiste test et validation,Spécialiste en géodésie et satellites,M1808,53
Na,Spécialiste test et validation,Ingénieur / Ingénieure des mesures et tests en industrie,H1206,14
Na,Spécialiste test et validation,Technicien / Technicienne de contrôle et de tests électroniques,H1504,36
Na,Technicien helpdesk,Superviseur / Superviseuse help desk en informatique,I1401,43
Na,Technicien helpdesk,Technicien / Technicienne de help desk en informatique,I1401,55
Na,Technicien helpdesk,Chef d'équipe de help desk en informatique,I1401,60
Na,Responsable e-commerce,Responsable e-commerce,M1707,56
Na,Responsable e-commerce,Responsable affiliation et partenariats e-commerce,M1705,46
Na,Responsable e-commerce,Acheteur / Acheteuse e-commerce,M1101,31
Na,Technicien d'exploitation,Adjoint / Adjointe d'exploitation informatique,M1810,39
Na,Technicien d'exploitation,Adjoint technicien / Adjointe technicienne d'exploitation informatique,M1810,81
Na,Gestionnaire de base de données,Administrateur / Administratrice de compagnie de danse,L1302,1
Na,Gestionnaire de base de données,Administrateur / Administratrice de compagnie de théâtre,L1302,54
Na,Délégué à la protection des données (DPD),Administrateur / Administratrice de la messagerie,M1801,46
Na,Chargé de production vidéos,Administrateur / Administratrice de production cinéma,L1302,43
Na,Administrateur réseau,Administrateur / Administratrice de serveurs,M1801,18
Na,Chargé de communication web,Administrateur / Administratrice de site Web,M1801,53
Na,Administrateur réseau,Administrateur / Administratrice de théâtre,L1302,30
Na,Administrateur réseau,Administrateur / Administratrice d'orchestre,L1302,39
Na,Expert Sécurité IT,Administrateur / Administratrice sécurité informatique,M1801,64
Na,Expert en système d’information,Agent / Agente d'atelier en reprographie,E1307,10
Na,Gestionnaire de base de données,Agent / Agente de maintenance de machines de bureau,I1401,14
Na,Gestionnaire de base de données,Agent / Agente de maintenance de matériels de reprographie,I1401,2
Na,Expert en technologie de l’information,Agent / Agente de maintenance en bureautique,I1401,22
Na,Gestionnaire de parc micro-informatique,Agent / Agente de maintenance en informatique,I1401,29
Na,Gestionnaire de parc micro-informatique,Agent / Agente de planning informatique,M1810,50
Na,Technicien d'exploitation,Agent / Agente d'exploitation en routage,E1304,34
Na,Technicien d'exploitation,Agent / Agente d'exploitation informatique,M1810,28
Na,Chef de projet technique,Agent / Agente technique de fabrication d'imprimerie,E1308,18
Na,Analyste SOC,Analyste cogniticien / cogniticienne informatique,M1805,31
Na,Analyste SOC,Analyste concepteur / conceptrice informatique,M1805,40
Na,Développeur d'applications,Analyste d'application,M1805,28
Na,Gestionnaire de parc micro-informatique,Analyste de gestion informatique,M1805,40
Na,Analyste SOC,Analyste de signaux électromagnétiques,M1807,60
Na,Chef de projet technique,Analyste des services techniques du renseignement,M1807,41
Na,Analyste SOC,Analyste d'étude informatique,M1805,4
Na,Développeur Data,Analyste développeur / développeuse,M1805,54
Na,Technicien d'exploitation,Analyste d'exploitation,M1810,10
Na,Analyste SOC,Analyste fonctionnel / fonctionnelle informatique,M1805,45
Na,Développeur d'applications,Analyste responsable d'application informatique,M1805,15
Na,Analyste SOC,Analyste télématique,M1805,2
Na,Gestionnaire de parc micro-informatique,Analyste-programmeur / Analyste-programmeuse de micro-informatique,M1805,36
Na,Analyste SOC,Analyste-programmeur / Analyste-programmeuse gestion informatique,M1805,20
Na,Animateur 3D,Animateur / Animatrice d'activités audiovisuelles,G1202,2
Na,Chef de projet web,Assistant / Assistante chef de projet informatique,M1805,92
Na,Expert en système d’information,Auditeur / Auditrice en système d'information,M1802,41
Na,Chargé de marketing digital,Chargé / Chargée de plan média,E1402,87
Na,Chargé de marketing digital,Chargé / Chargée d'études média,E1402,48
Na,Chef de projet web,Chef de projet informatique,M1803,48
Na,Chef de projet web,Chef de projet internet,M1803,84
Na,Développeur d'applications,Concepteur / Conceptrice d'application informatique,M1805,57
Na,Expert en système d’information,Consultant / Consultante en système d'information,M1806,93
Na,Expert systèmes et réseaux,Consultant / Consultante réseaux informatiques,M1806,73
Na,Journaliste web,Cyber-journaliste,E1106,72
Na,Développeur de jeux vidéos,Développeur / Développeuse de logiciel de simulation optique et réalité virtuelle,M1805,67
Na,Développeur de jeux vidéos,Développeur / Développeuse logiciel de réalité augmentée,M1805,92
Na,Chargé e-commerce,E-commercial / E-commerciale,E1101,71
Na,Gestionnaire de parc micro-informatique,Gestionnaire de ressources informatiques,M1810,99
Na,Gestionnaire de parc micro-informatique,Gestionnaire de ressources matérielles informatiques,M1810,55
Na,Expert en système d’information,Ingénieur / Ingénieure analyste en système d'information,M1805,44
Na,Ingénieur DevOps,Ingénieur concepteur / Ingénieure conceptrice informatique,M1805,98
Na,Développeur d'applications,Ingénieur / Ingénieure d'application informatique,M1805,57
Na,Ingénieur DevOps,Ingénieur / Ingénieure d'étude informatique,M1805,90
Na,Ingénieur DevOps,Ingénieur / Ingénieure méthodes informatiques,M1802,64
Na,Ingénieur DevOps,Ingénieur / Ingénieure programme informatique,M1805,82
Na,Expert Sécurité IT,Ingénieur / Ingénieure sécurité informatique,M1802,67
Na,Administrateur système et réseau,Ingénieur / Ingénieure système réseau informatique,M1802,49
Na,Responsable communication digitale,Responsable de conception communication multimédia,E1104,84
Na,Coordinateur de projet,Responsable de projet informatique,M1805,43
Na,Responsable Sécurité de l'information,Responsable sécurité informatique,M1802,48
Na,Conseiller support technique,Support technique hot line en informatique,I1401,76
Na,Gestionnaire de parc micro-informatique,Technicien / Technicienne de maintenance en micro-informatique,I1401,48
Na,Technicien d'exploitation,Technicien / Technicienne d'exploitation informatique,M1810,87
Na,Technicien en télécommunication,Technicien / Technicienne en communication,M1807,79
Na,Technicien système et réseau,Technicien / Technicienne en micro-informatique et réseaux,I1401,66
Na,Technicien réseau,Technicien / Technicienne en réseau local informatique,I1401,100
Na,Technicien cloud,Technicien / Technicienne informatique,M1810,56
Na,Chargé de communication web,Webmaster chargé / chargée de communication,E1103,47
Na,Chargé de production vidéos,Attaché / Attachée de production audiovisuelle,L1302,46
Na,Développeur de jeux vidéos,Lead programmeur / programmeuse - jeux vidéo,M1805,62
Na,Responsable marketing digital,Responsable des relations publiques digitales,E1103,100
Na,Expert Sécurité IT,Ingénieur / Ingénieure sécurité web,M1802,75
Na,Responsable sécurité des systèmes d'information,Expert / Experte en sécurité des systèmes d'information,M1802,78
Na,Chargé de communication web,Chargé / Chargée de communication on line,E1103,52
Na,Expert en technologie de l’information,Consultant / Consultante IT,M1806,49
Na,Réalisateur de jeux vidéos,Directeur / Directrice de création - jeux vidéo,E1104,87
Na,Réalisateur de jeux vidéos,Level designer - jeux vidéo,E1104,71
Na,UI Designer,Designer / Designeuse ergonome,H1204,86
Na,Chargé de marketing digital,Chargé / Chargée de projet marketing,M1705,97
Na,Responsable Sécurité de l'information,Responsable de veille stratégique,M1403,91
Na,Animateur 3D,Modélisateur / Modélisatrice 3D - films d'animation,L1510,60
Na,UX Designer,Designer / Designeuse ergonome,H1204,50
Na,Chef de projet systèmes d'information,Responsable des systèmes d'information,M1803,60
Non,Animateur 3D,Animateur / Animatrice d'arts plastiques,G1202,18
Non,Animateur 3D,Animateur / Animatrice d'atelier d'activités manuelles,G1202,53
Non,Animateur 3D,Animateur / Animatrice d'atelier d'écriture,G1202,24
Non,Animateur 3D,Animateur / Animatrice d'atelier d'expression corporelle,G1202,21
